instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_real,atemp_real,hum_real,windspeed_real
15,2011-01-15,1,0,1,0,6,0,2,0.271,0.248112,0.49875,0.157963,222,1026,1248,11.111,12.4056,49.875,10.583521
16,2011-01-16,1,0,1,0,0,0,1,0.269,0.234217,0.48375,0.188433,251,953,1204,11.029,11.71085,48.375,12.625010999999999
17,2011-01-17,1,0,1,1,1,0,2,0.204,0.176771,0.5375,0.194017,117,883,1000,8.363999999999999,8.838550000000001,53.75,12.999139
18,2011-01-18,1,0,1,0,2,1,2,0.251,0.232333,0.861667,0.146775,9,674,683,10.291,11.61665,86.16669999999999,9.833924999999999
19,2011-01-19,1,0,1,0,3,1,2,0.339,0.298422,0.741739,0.208317,78,1572,1650,13.899000000000001,14.921100000000001,74.1739,13.957239
20,2011-01-20,1,0,1,0,4,1,2,0.304,0.25505,0.538333,0.195904,83,1844,1927,12.464,12.7525,53.833299999999994,13.125568
21,2011-01-21,1,0,1,0,5,1,1,0.206,0.157833,0.457083,0.353242,75,1468,1543,8.446,7.89165,45.7083,23.667214
22,2011-01-22,1,0,1,0,6,0,1,0.069,0.0790696,0.4,0.17197,93,888,981,2.829,3.9534800000000003,40.0,11.52199
23,2011-01-23,1,0,1,0,0,0,1,0.112,0.0988391,0.436522,0.2466,150,836,986,4.5920000000000005,4.941955,43.6522,16.5222
24,2011-01-24,1,0,1,0,1,1,1,0.113,0.11793,0.491739,0.15833,86,1330,1416,4.633,5.8965,49.173899999999996,10.60811
25,2011-01-25,1,0,1,0,2,1,2,0.259,0.234526,0.616957,0.129796,186,1799,1985,10.619,11.7263,61.695699999999995,8.696332
26,2011-01-26,1,0,1,0,3,1,3,0.252,0.2036,0.8625,0.29385,34,472,506,10.332,10.18,86.25,19.68795
27,2011-01-27,1,0,1,0,4,1,1,0.226,0.2197,0.6875,0.113837,15,416,431,9.266,10.985,68.75,7.627078999999999
28,2011-01-28,1,0,1,0,5,1,2,0.236,0.223317,0.793043,0.1233,38,1129,1167,9.676,11.165849999999999,79.30430000000001,8.2611
29,2011-01-29,1,0,1,0,6,0,1,0.228,0.212126,0.651739,0.145365,123,975,1098,9.348,10.606300000000001,65.17389999999999,9.739455
30,2011-01-30,1,0,1,0,0,0,1,0.251,0.250322,0.722174,0.0739826,140,956,1096,10.291,12.5161,72.2174,4.956834199999999
31,2011-01-31,1,0,1,0,1,1,2,0.21,0.18625,0.60375,0.187192,42,1459,1501,8.61,9.3125,60.375,12.541864
32,2011-02-01,1,0,2,0,2,1,2,0.223,0.23453,0.829565,0.053213,47,1313,1360,9.143,11.7265,82.9565,3.565271
33,2011-02-02,1,0,2,0,3,1,2,0.302,0.254417,0.775417,0.264308,72,1454,1526,12.382,12.72085,77.5417,17.708636
34,2011-02-03,1,0,2,0,4,1,1,0.217,0.177878,0.437826,0.277752,61,1489,1550,8.897,8.8939,43.7826,18.609384
35,2011-02-04,1,0,2,0,5,1,2,0.245,0.228587,0.585217,0.127839,88,1620,1708,10.045,11.429350000000001,58.521699999999996,8.565213
36,2011-02-05,1,0,2,0,6,0,2,0.271,0.243058,0.929167,0.161079,100,905,1005,11.111,12.152899999999999,92.91669999999999,10.792293
37,2011-02-06,1,0,2,0,0,0,1,0.332,0.291671,0.568333,0.1418,354,1269,1623,13.612,14.58355,56.833299999999994,9.5006
38,2011-02-07,1,0,2,0,1,1,1,0.315,0.303658,0.738333,0.0454083,120,1592,1712,12.915000000000001,15.1829,73.83330000000001,3.0423561
39,2011-02-08,1,0,2,0,2,1,1,0.256,0.198246,0.537917,0.36195,64,1466,1530,10.496,9.9123,53.7917,24.25065
40,2011-02-09,1,0,2,0,3,1,2,0.156,0.144283,0.494783,0.188839,53,1552,1605,6.396,7.21415,49.4783,12.652213
41,2011-02-10,1,0,2,0,4,1,1,0.168,0.149548,0.437391,0.221935,47,1491,1538,6.888000000000001,7.477399999999999,43.7391,14.869645
42,2011-02-11,1,0,2,0,5,1,1,0.219,0.213509,0.506364,0.10855,149,1597,1746,8.979,10.67545,50.6364,7.272849999999999
43,2011-02-12,1,0,2,0,6,0,1,0.258,0.232954,0.544167,0.203367,288,1184,1472,10.578,11.6477,54.4167,13.625589
44,2011-02-13,1,0,2,0,0,0,1,0.367,0.324113,0.457391,0.260883,397,1192,1589,15.047,16.20565,45.7391,17.479160999999998
45,2011-02-14,1,0,2,0,1,1,1,0.482,0.39835,0.375833,0.417908,208,1705,1913,19.762,19.9175,37.583299999999994,27.999836
46,2011-02-15,1,0,2,0,2,1,1,0.309,0.254274,0.314348,0.291374,140,1675,1815,12.669,12.7137,31.434800000000003,19.522058
47,2011-02-16,1,0,2,0,3,1,1,0.369,0.3162,0.423478,0.251791,218,1897,2115,15.129,15.809999999999999,42.3478,16.869996999999998
48,2011-02-17,1,0,2,0,4,1,1,0.506,0.428658,0.505,0.230104,259,2216,2475,20.746,21.4329,50.5,15.416968
49,2011-02-18,1,0,2,0,5,1,1,0.605,0.511983,0.516667,0.264925,579,2348,2927,24.805,25.599149999999998,51.6667,17.749975000000003
50,2011-02-19,1,0,2,0,6,0,1,0.463,0.391404,0.187917,0.507463,532,1103,1635,18.983,19.5702,18.7917,34.000021
51,2011-02-20,1,0,2,0,0,0,1,0.331,0.27733,0.407826,0.223235,639,1173,1812,13.571000000000002,13.8665,40.7826,14.956745
52,2011-02-21,1,0,2,1,1,0,2,0.352,0.284075,0.605,0.307846,195,912,1107,14.431999999999999,14.203750000000001,60.5,20.625682
53,2011-02-22,1,0,2,0,2,1,1,0.211,0.186033,0.577778,0.195683,74,1376,1450,8.651,9.30165,57.7778,13.110761
54,2011-02-23,1,0,2,0,3,1,1,0.257,0.245717,0.423043,0.094113,139,1778,1917,10.537,12.28585,42.3043,6.3055710000000005
55,2011-02-24,1,0,2,0,4,1,2,0.343,0.289191,0.697391,0.250496,100,1707,1807,14.063,14.459549999999998,69.7391,16.783231999999998
56,2011-02-25,1,0,2,0,5,1,2,0.423,0.350461,0.712174,0.346539,120,1341,1461,17.343,17.52305,71.2174,23.218113
57,2011-02-26,1,0,2,0,6,0,1,0.328,0.282192,0.537917,0.186571,424,1545,1969,13.448,14.1096,53.7917,12.500257
58,2011-02-27,1,0,2,0,0,0,1,0.399,0.351109,0.68,0.125248,694,1708,2402,16.359,17.55545,68.0,8.391615999999999
59,2011-02-28,1,0,2,0,1,1,2,0.473,0.400118,0.876364,0.289686,81,1365,1446,19.393,20.005899999999997,87.63640000000001,19.408962
60,2011-03-01,1,0,3,0,2,1,1,0.309,0.263879,0.535,0.216425,137,1714,1851,12.669,13.19395,53.5,14.500475
61,2011-03-02,1,0,3,0,3,1,1,0.389,0.320071,0.449583,0.307833,231,1903,2134,15.949,16.00355,44.9583,20.624811
62,2011-03-03,1,0,3,0,4,1,1,0.23,0.200133,0.318333,0.225754,123,1562,1685,9.43,10.00665,31.833299999999998,15.125518000000001
63,2011-03-04,1,0,3,0,5,1,2,0.304,0.255679,0.610417,0.203346,214,1730,1944,12.464,12.783949999999999,61.0417,13.624182
64,2011-03-05,1,0,3,0,6,0,2,0.446,0.378779,0.789167,0.251871,640,1437,2077,18.286,18.93895,78.91669999999999,16.875357
65,2011-03-06,1,0,3,0,0,0,2,0.437,0.366252,0.948261,0.343287,114,491,605,17.917,18.3126,94.8261,23.000229
66,2011-03-07,1,0,3,0,1,1,1,0.304,0.238461,0.551304,0.341352,244,1628,1872,12.464,11.92305,55.1304,22.870584
67,2011-03-08,1,0,3,0,2,1,1,0.339,0.3024,0.420833,0.12065,316,1817,2133,13.899000000000001,15.120000000000001,42.0833,8.083549999999999
68,2011-03-09,1,0,3,0,3,1,2,0.343,0.286608,0.775417,0.22015,191,1700,1891,14.063,14.3304,77.5417,14.750050000000002
69,2011-03-10,1,0,3,0,4,1,3,0.452,0.385668,0.0,0.261877,46,577,623,18.532,19.2834,0.0,17.545759
70,2011-03-11,1,0,3,0,5,1,2,0.367,0.305,0.649565,0.23297,247,1730,1977,15.047,15.25,64.95649999999999,15.60899
71,2011-03-12,1,0,3,0,6,0,1,0.382,0.32575,0.594583,0.220775,724,1408,2132,15.662,16.287499999999998,59.458299999999994,14.791924999999999
72,2011-03-13,1,0,3,0,0,0,1,0.446,0.380091,0.527391,0.270604,982,1435,2417,18.286,19.004550000000002,52.73910000000001,18.130468
73,2011-03-14,1,0,3,0,1,1,1,0.377,0.332,0.496957,0.136926,359,1687,2046,15.457,16.6,49.695699999999995,9.174042
74,2011-03-15,1,0,3,0,2,1,2,0.368,0.318178,0.655652,0.184309,289,1767,2056,15.088,15.908900000000001,65.5652,12.348703
75,2011-03-16,1,0,3,0,3,1,2,0.424,0.36693,0.776522,0.203117,321,1871,2192,17.384,18.3465,77.65220000000001,13.608839
76,2011-03-17,1,0,3,0,4,1,1,0.482,0.410333,0.602917,0.209579,424,2320,2744,19.762,20.51665,60.291700000000006,14.041792999999998
77,2011-03-18,1,0,3,0,5,1,1,0.627,0.527009,0.525217,0.231017,884,2355,3239,25.707,26.35045,52.5217,15.478139
78,2011-03-19,1,0,3,0,6,0,1,0.548,0.466525,0.379167,0.368167,1424,1693,3117,22.468000000000004,23.32625,37.9167,24.667189
79,2011-03-20,1,0,3,0,0,0,1,0.386,0.32575,0.47375,0.207721,1047,1424,2471,15.826,16.287499999999998,47.375,13.917307
80,2011-03-21,2,0,3,0,1,1,2,0.5,0.409735,0.737391,0.288783,401,1676,2077,20.5,20.48675,73.73910000000001,19.348461
81,2011-03-22,2,0,3,0,2,1,1,0.513,0.440642,0.624583,0.22575,460,2243,2703,21.033,22.0321,62.4583,15.125250000000001
82,2011-03-23,2,0,3,0,3,1,2,0.403,0.337939,0.839565,0.234261,203,1918,2121,16.523,16.89695,83.9565,15.695487
83,2011-03-24,2,0,3,0,4,1,2,0.331,0.270833,0.805833,0.243787,166,1699,1865,13.571000000000002,13.541649999999999,80.58330000000001,16.333729
84,2011-03-25,2,0,3,0,5,1,1,0.307,0.256312,0.495,0.230725,300,1910,2210,12.587,12.8156,49.5,15.458575000000002
85,2011-03-26,2,0,3,0,6,0,1,0.309,0.257571,0.394167,0.209571,981,1515,2496,12.669,12.87855,39.4167,14.041257
86,2011-03-27,2,0,3,0,0,0,2,0.294,0.250339,0.493913,0.1843,472,1221,1693,12.053999999999998,12.51695,49.3913,12.348099999999999
87,2011-03-28,2,0,3,0,1,1,1,0.307,0.257574,0.302174,0.212204,222,1806,2028,12.587,12.878700000000002,30.2174,14.217668
88,2011-03-29,2,0,3,0,2,1,1,0.351,0.292908,0.314167,0.226996,317,2108,2425,14.390999999999998,14.6454,31.4167,15.208732
89,2011-03-30,2,0,3,0,3,1,2,0.348,0.29735,0.646667,0.172888,168,1368,1536,14.267999999999999,14.8675,64.6667,11.583495999999998
90,2011-03-31,2,0,3,0,4,1,3,0.311,0.257575,0.918333,0.217646,179,1506,1685,12.751,12.87875,91.8333,14.582282000000001
91,2011-04-01,2,0,4,0,5,1,2,0.348,0.283454,0.68625,0.258708,307,1920,2227,14.267999999999999,14.172699999999999,68.625,17.333436
92,2011-04-02,2,0,4,0,6,0,2,0.366,0.315637,0.65375,0.197146,898,1354,2252,15.006,15.78185,65.375,13.208782
93,2011-04-03,2,0,4,0,0,0,1,0.439,0.378767,0.48,0.182213,1651,1598,3249,17.999,18.93835,48.0,12.208271000000002
94,2011-04-04,2,0,4,0,1,1,1,0.665,0.542929,0.42625,0.385571,734,2381,3115,27.265,27.14645,42.625,25.833257
95,2011-04-05,2,0,4,0,2,1,2,0.481,0.39835,0.642083,0.388067,167,1628,1795,19.721,19.9175,64.2083,26.000488999999998
96,2011-04-06,2,0,4,0,3,1,1,0.454,0.387608,0.470833,0.263063,413,2395,2808,18.614,19.3804,47.0833,17.625221
97,2011-04-07,2,0,4,0,4,1,1,0.508,0.433696,0.602917,0.162312,571,2570,3141,20.828,21.684800000000003,60.291700000000006,10.874904
98,2011-04-08,2,0,4,0,5,1,2,0.39,0.324479,0.83625,0.226992,172,1299,1471,15.99,16.223950000000002,83.625,15.208464
99,2011-04-09,2,0,4,0,6,0,2,0.397,0.341529,0.8775,0.133083,879,1576,2455,16.277,17.07645,87.75,8.916561
100,2011-04-10,2,0,4,0,0,0,2,0.495,0.426737,0.8575,0.146767,1188,1707,2895,20.294999999999998,21.33685,85.75,9.833389
101,2011-04-11,2,0,4,0,1,1,2,0.691,0.565217,0.716956,0.324474,855,2493,3348,28.331,28.260849999999998,71.6956,21.739758
102,2011-04-12,2,0,4,0,2,1,2,0.583,0.493054,0.739167,0.274879,257,1777,2034,23.903,24.6527,73.9167,18.416892999999998
103,2011-04-13,2,0,4,0,3,1,2,0.479,0.417283,0.819167,0.250617,209,1953,2162,19.639,20.864150000000002,81.91669999999999,16.791338999999997
104,2011-04-14,2,0,4,0,4,1,1,0.543,0.462742,0.540417,0.1107,529,2738,3267,22.263,23.1371,54.041700000000006,7.4169
105,2011-04-15,2,0,4,1,5,0,1,0.518,0.441913,0.67125,0.226375,642,2484,3126,21.238,22.09565,67.125,15.167124999999999
106,2011-04-16,2,0,4,0,6,0,3,0.5,0.425492,0.888333,0.340808,121,674,795,20.5,21.2746,88.83330000000001,22.834136
107,2011-04-17,2,0,4,0,0,0,1,0.53,0.445696,0.479583,0.303496,1558,2186,3744,21.73,22.2848,47.9583,20.334232
108,2011-04-18,2,0,4,0,1,1,1,0.595,0.503146,0.5425,0.163567,669,2760,3429,24.395,25.1573,54.25,10.958988999999999
109,2011-04-19,2,0,4,0,2,1,2,0.587,0.489258,0.665833,0.157971,409,2795,3204,24.067,24.4629,66.5833,10.584057
110,2011-04-20,2,0,4,0,3,1,1,0.691,0.564392,0.614167,0.241925,613,3331,3944,28.331,28.2196,61.4167,16.208975
111,2011-04-21,2,0,4,0,4,1,1,0.533,0.453892,0.407083,0.325258,745,3444,4189,21.853,22.6946,40.708299999999994,21.792286
112,2011-04-22,2,0,4,0,5,1,2,0.391,0.321954,0.729583,0.219521,177,1506,1683,16.031,16.0977,72.9583,14.707906999999999
113,2011-04-23,2,0,4,0,6,0,2,0.534,0.450121,0.887917,0.230725,1462,2574,4036,21.894000000000002,22.50605,88.79169999999999,15.458575000000002
114,2011-04-24,2,0,4,0,0,0,2,0.675,0.551763,0.810833,0.192175,1710,2481,4191,27.675,27.58815,81.08330000000001,12.875725000000001
115,2011-04-25,2,0,4,0,1,1,1,0.704,0.5745,0.776667,0.185333,773,3300,4073,28.863999999999997,28.725,77.6667,12.417311
116,2011-04-26,2,0,4,0,2,1,1,0.733,0.594083,0.729167,0.3265,678,3722,4400,30.053,29.704150000000002,72.9167,21.875500000000002
117,2011-04-27,2,0,4,0,3,1,2,0.72,0.575142,0.835417,0.3122,547,3325,3872,29.52,28.7571,83.54169999999999,20.917399999999997
118,2011-04-28,2,0,4,0,4,1,2,0.717,0.578929,0.700833,0.320908,569,3489,4058,29.397,28.946450000000002,70.08330000000001,21.500836000000003
119,2011-04-29,2,0,4,0,5,1,1,0.592,0.497463,0.457083,0.240063,878,3717,4595,24.272,24.87315,45.7083,16.084221
120,2011-04-30,2,0,4,0,6,0,1,0.548,0.464021,0.503333,0.235075,1965,3347,5312,22.468000000000004,23.201050000000002,50.3333,15.750025
121,2011-05-01,2,0,5,0,0,0,2,0.524,0.448204,0.762083,0.106354,1138,2213,3351,21.484,22.4102,76.2083,7.125718
122,2011-05-02,2,0,5,0,1,1,2,0.637,0.532833,0.73,0.183454,847,3554,4401,26.117,26.64165,73.0,12.291418
123,2011-05-03,2,0,5,0,2,1,2,0.716,0.582079,0.697083,0.342667,603,3848,4451,29.355999999999998,29.10395,69.7083,22.958689
124,2011-05-04,2,0,5,0,3,1,2,0.481,0.40465,0.737083,0.328996,255,2378,2633,19.721,20.2325,73.70830000000001,22.042732
125,2011-05-05,2,0,5,0,4,1,1,0.533,0.441917,0.444167,0.295392,614,3819,4433,21.853,22.09585,44.4167,19.791263999999998
126,2011-05-06,2,0,5,0,5,1,1,0.556,0.474117,0.59,0.228246,894,3714,4608,22.796000000000003,23.70585,59.0,15.292482
127,2011-05-07,2,0,5,0,6,0,1,0.603,0.512621,0.54125,0.16045,1612,3102,4714,24.723,25.63105,54.125,10.750150000000001
128,2011-05-08,2,0,5,0,0,0,1,0.613,0.518933,0.631667,0.0746375,1401,2932,4333,25.133,25.946649999999998,63.1667,5.0007125
129,2011-05-09,2,0,5,0,1,1,1,0.618,0.525246,0.58875,0.176,664,3698,4362,25.338,26.2623,58.875,11.792
130,2011-05-10,2,0,5,0,2,1,1,0.618,0.522721,0.489167,0.115671,694,4109,4803,25.338,26.13605,48.9167,7.749956999999999
131,2011-05-11,2,0,5,0,3,1,1,0.63,0.5284,0.632917,0.120642,550,3632,4182,25.830000000000002,26.419999999999998,63.29169999999999,8.083014
132,2011-05-12,2,0,5,0,4,1,1,0.621,0.523363,0.7475,0.189667,695,4169,4864,25.461,26.16815,74.75,12.707689
133,2011-05-13,2,0,5,0,5,1,2,0.595,0.4943,0.863333,0.179725,692,3413,4105,24.395,24.715,86.33330000000001,12.041575
134,2011-05-14,2,0,5,0,6,0,2,0.604,0.500629,0.9225,0.13495,902,2507,3409,24.764,25.03145,92.25,9.041649999999999
135,2011-05-15,2,0,5,0,0,0,2,0.653,0.536,0.867083,0.152979,1582,2971,4553,26.773,26.8,86.70830000000001,10.249593
136,2011-05-16,2,0,5,0,1,1,1,0.67,0.550512,0.787917,0.126871,773,3185,3958,27.470000000000002,27.5256,78.79169999999999,8.500357000000001
137,2011-05-17,2,0,5,0,2,1,2,0.652,0.538529,0.837917,0.277354,678,3445,4123,26.732,26.926450000000003,83.7917,18.582718
138,2011-05-18,2,0,5,0,3,1,2,0.638,0.527158,0.87,0.201492,536,3319,3855,26.158,26.3579,87.0,13.499964
139,2011-05-19,2,0,5,0,4,1,2,0.616,0.510742,0.829583,0.108213,735,3840,4575,25.256,25.537100000000002,82.9583,7.250271000000001
140,2011-05-20,2,0,5,0,5,1,1,0.623,0.529042,0.719583,0.125013,909,4008,4917,25.543,26.4521,71.9583,8.375871
141,2011-05-21,2,0,5,0,6,0,1,0.699,0.571975,0.626667,0.12065,2258,3547,5805,28.659,28.59875,62.6667,8.083549999999999
142,2011-05-22,2,0,5,0,0,0,1,0.701,0.5745,0.749583,0.148008,1576,3084,4660,28.741,28.725,74.9583,9.916536
143,2011-05-23,2,0,5,0,1,1,2,0.733,0.590296,0.81,0.233842,836,3438,4274,30.053,29.5148,81.0,15.667413999999999
144,2011-05-24,2,0,5,0,2,1,2,0.766,0.604813,0.740833,0.207092,659,3833,4492,31.406,30.240650000000002,74.0833,13.875164
145,2011-05-25,2,0,5,0,3,1,1,0.767,0.615542,0.69625,0.154233,740,4238,4978,31.447,30.7771,69.625,10.333611000000001
146,2011-05-26,2,0,5,0,4,1,1,0.822,0.654688,0.6775,0.199642,758,3919,4677,33.702,32.7344,67.75,13.376014
147,2011-05-27,2,0,5,0,5,1,1,0.791,0.637008,0.65375,0.240679,871,3808,4679,32.431000000000004,31.8504,65.375,16.125493
148,2011-05-28,2,0,5,0,6,0,1,0.761,0.612379,0.729583,0.230092,2001,2757,4758,31.201,30.61895,72.9583,15.416164
149,2011-05-29,2,0,5,0,0,0,1,0.775,0.61555,0.81875,0.213938,2355,2433,4788,31.775000000000002,30.777500000000003,81.875,14.333846
150,2011-05-30,2,0,5,1,1,0,1,0.851,0.671092,0.685,0.131225,1549,2549,4098,34.891,33.5546,68.5,8.792075
151,2011-05-31,2,0,5,0,2,1,1,0.899,0.725383,0.636667,0.111329,673,3309,3982,36.859,36.26915,63.6667,7.459042999999999
152,2011-06-01,2,0,6,0,3,1,2,0.887,0.720967,0.677083,0.207092,513,3461,3974,36.367,36.04835,67.7083,13.875164
153,2011-06-02,2,0,6,0,4,1,1,0.83,0.643942,0.305,0.292287,736,4232,4968,34.03,32.1971,30.5,19.583229000000003
154,2011-06-03,2,0,6,0,5,1,1,0.72,0.587133,0.354167,0.253121,898,4414,5312,29.52,29.356650000000002,35.4167,16.959107
155,2011-06-04,2,0,6,0,6,0,1,0.737,0.594696,0.45625,0.123142,1869,3473,5342,30.217,29.7348,45.625,8.250514
156,2011-06-05,2,0,6,0,0,0,2,0.752,0.616804,0.6525,0.138692,1685,3221,4906,30.832,30.8402,65.25,9.292364000000001
157,2011-06-06,2,0,6,0,1,1,1,0.787,0.621858,0.6,0.121896,673,3875,4548,32.267,31.0929,60.0,8.167032
158,2011-06-07,2,0,6,0,2,1,1,0.821,0.65595,0.597917,0.187808,763,4070,4833,33.661,32.7975,59.791700000000006,12.583136
159,2011-06-08,2,0,6,0,3,1,1,0.9,0.727279,0.622083,0.136817,676,3725,4401,36.9,36.36395,62.20830000000001,9.166739
160,2011-06-09,2,0,6,0,4,1,2,0.938,0.757579,0.568333,0.149883,563,3352,3915,38.458,37.87895,56.833299999999994,10.042161
161,2011-06-10,2,0,6,0,5,1,1,0.876,0.703292,0.605,0.140554,815,3771,4586,35.916,35.1646,60.5,9.417118
162,2011-06-11,2,0,6,0,6,0,1,0.841,0.678038,0.654583,0.15485,1729,3237,4966,34.481,33.901900000000005,65.45830000000001,10.374949999999998
163,2011-06-12,2,0,6,0,0,0,1,0.804,0.643325,0.747917,0.163567,1467,2993,4460,32.964,32.166250000000005,74.7917,10.958988999999999
164,2011-06-13,2,0,6,0,1,1,1,0.737,0.601654,0.494583,0.30535,863,4157,5020,30.217,30.082700000000003,49.4583,20.45845
165,2011-06-14,2,0,6,0,2,1,1,0.701,0.591546,0.507083,0.269283,727,4164,4891,28.741,29.5773,50.708299999999994,18.041961
166,2011-06-15,2,0,6,0,3,1,1,0.727,0.587754,0.471667,0.167912,769,4411,5180,29.807,29.3877,47.1667,11.250104
167,2011-06-16,2,0,6,0,4,1,2,0.729,0.595346,0.688333,0.206471,545,3222,3767,29.889,29.767300000000002,68.8333,13.833556999999999
168,2011-06-17,2,0,6,0,5,1,1,0.753,0.600383,0.735833,0.143029,863,3981,4844,30.873,30.01915,73.5833,9.582942999999998
169,2011-06-18,2,0,6,0,6,0,1,0.809,0.643954,0.670417,0.119408,1807,3312,5119,33.169000000000004,32.197700000000005,67.0417,8.000336
170,2011-06-19,2,0,6,0,0,0,2,0.811,0.645846,0.666667,0.102,1639,3105,4744,33.251000000000005,32.292300000000004,66.6667,6.834
171,2011-06-20,2,0,6,0,1,1,2,0.737,0.595346,0.74625,0.155475,699,3311,4010,30.217,29.767300000000002,74.625,10.416825
172,2011-06-21,3,0,6,0,2,1,2,0.79,0.637646,0.770417,0.171025,774,4061,4835,32.39,31.8823,77.0417,11.458675000000001
173,2011-06-22,3,0,6,0,3,1,1,0.851,0.693829,0.7075,0.172262,661,3846,4507,34.891,34.69145,70.75,11.541554
174,2011-06-23,3,0,6,0,4,1,2,0.845,0.693833,0.703333,0.238804,746,4044,4790,34.644999999999996,34.69165,70.3333,15.999868
175,2011-06-24,3,0,6,0,5,1,1,0.84,0.656583,0.573333,0.222025,969,4022,4991,34.44,32.82915,57.3333,14.875675
176,2011-06-25,3,0,6,0,6,0,1,0.807,0.643313,0.483333,0.209571,1782,3420,5202,33.087,32.16565,48.3333,14.041257
177,2011-06-26,3,0,6,0,0,0,1,0.789,0.637629,0.513333,0.0945333,1920,3385,5305,32.349000000000004,31.88145,51.3333,6.3337311
178,2011-06-27,3,0,6,0,1,1,2,0.792,0.637004,0.658333,0.107588,854,3854,4708,32.472,31.8502,65.8333,7.2083960000000005
179,2011-06-28,3,0,6,0,2,1,1,0.864,0.692558,0.634167,0.144283,732,3916,4648,35.424,34.6279,63.416700000000006,9.666960999999999
180,2011-06-29,3,0,6,0,3,1,1,0.845,0.654688,0.497917,0.261821,848,4377,5225,34.644999999999996,32.7344,49.7917,17.542007
181,2011-06-30,3,0,6,0,4,1,1,0.809,0.637008,0.434167,0.185312,1027,4488,5515,33.169000000000004,31.8504,43.416700000000006,12.415904000000001
182,2011-07-01,3,0,7,0,5,1,1,0.838,0.652162,0.39625,0.102608,1246,4116,5362,34.358,32.6081,39.625,6.874736
183,2011-07-02,3,0,7,0,6,0,1,0.857,0.667308,0.444583,0.115062,2204,2915,5119,35.137,33.3654,44.4583,7.709154
184,2011-07-03,3,0,7,0,0,0,2,0.832,0.668575,0.6825,0.228858,2282,2367,4649,34.112,33.42875,68.25,15.333486
185,2011-07-04,3,0,7,1,1,0,2,0.843,0.665417,0.637917,0.0814792,3065,2978,6043,34.563,33.27085,63.7917,5.4591064000000005
186,2011-07-05,3,0,7,0,2,1,1,0.867,0.696338,0.590417,0.126258,1031,3634,4665,35.547,34.816900000000004,59.0417,8.459286
187,2011-07-06,3,0,7,0,3,1,1,0.836,0.685633,0.743333,0.149883,784,3845,4629,34.275999999999996,34.28165,74.33330000000001,10.042161
188,2011-07-07,3,0,7,0,4,1,1,0.87,0.686871,0.65125,0.1592,754,3838,4592,35.67,34.34355,65.125,10.666400000000001
189,2011-07-08,3,0,7,0,5,1,2,0.823,0.670483,0.757917,0.225129,692,3348,4040,33.742999999999995,33.524150000000006,75.79169999999999,15.083643
190,2011-07-09,3,0,7,0,6,0,1,0.851,0.664158,0.609167,0.167912,1988,3348,5336,34.891,33.2079,60.9167,11.250104
191,2011-07-10,3,0,7,0,0,0,1,0.868,0.690025,0.578333,0.183471,1743,3138,4881,35.588,34.50125,57.8333,12.292557
192,2011-07-11,3,0,7,0,1,1,1,0.885,0.729804,0.635833,0.282337,723,3363,4086,36.285000000000004,36.4902,63.5833,18.916579
